0.866025	0.500000	$h_{i}$
0.258819	0.965926	$c_{m}$
-0.500000	0.866025	$h_{a}$
-0.965926	0.258819	$c^{\\dagger}_{b}$
-0.866025	-0.500000	$c_{d}$
-0.258819	-0.965926	$h^{\\dagger}_{c}$
0.500000	-0.866025	$c^{\\dagger}_{o}$
0.965926	-0.258819	$h^{\\dagger}_{k}$
